,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
2020-09-23 14:01:00,0.0,1.0,1.5,0.5,1.5,0.0,1.5,1.5,0.5,1.5,-0.5,1.0
2020-09-23 14:02:00,0.3333333333333333,1.0,2.0,0.6666666666666666,1.3333333333333333,0.3333333333333333,1.3333333333333333,1.3333333333333333,0.6666666666666666,2.0,-1.0,1.3333333333333333
2020-09-23 14:03:00,0.25,1.0,2.25,1.0,1.25,0.25,1.5,1.0,1.0,2.0,-1.25,1.5
2020-09-23 14:04:00,0.4,1.0,2.4,1.0,1.4,0.2,1.8,1.0,1.4,1.8,-1.6,1.8
2020-09-23 14:05:00,0.3333333333333333,1.1666666666666667,2.5,1.1666666666666667,1.3333333333333333,0.0,1.8333333333333333,1.1666666666666667,1.6666666666666667,1.5,-2.0,2.1666666666666665
2020-09-23 14:06:00,0.14285714285714285,1.4285714285714286,2.7142857142857144,1.1428571428571428,1.4285714285714286,-0.14285714285714285,2.0,1.4285714285714286,2.0,1.2857142857142858,-2.2857142857142856,2.5714285714285716
2020-09-23 14:07:00,0.125,1.75,3.0,1.0,1.375,-0.125,2.25,1.5,2.25,1.25,-2.5,2.75
2020-09-23 14:08:00,0.2222222222222222,2.0,3.2222222222222223,0.7777777777777778,1.3333333333333333,0.0,2.4444444444444446,1.4444444444444444,2.5555555555555554,1.3333333333333333,-2.7777777777777777,2.7777777777777777
2020-09-23 14:09:00,0.4,2.2,3.3,0.6,1.4,0.0,2.7,1.3,2.8,1.5,-2.9,2.9
2020-09-23 14:10:00,0.6363636363636364,2.3636363636363638,3.4545454545454546,0.5454545454545454,1.4545454545454546,0.0,3.0,1.0909090909090908,3.0,1.5454545454545454,-2.909090909090909,2.909090909090909
2020-09-23 14:11:00,0.8333333333333334,2.4166666666666665,3.5833333333333335,0.5,1.4166666666666667,0.08333333333333333,3.25,0.8333333333333334,3.25,1.5,-3.0,2.8333333333333335
2020-09-23 14:12:00,1.0,2.5384615384615383,3.6923076923076925,0.5384615384615384,1.3076923076923077,0.23076923076923078,3.4615384615384617,0.6153846153846154,3.3846153846153846,1.4615384615384615,-3.076923076923077,2.6923076923076925
2020-09-23 14:13:00,1.1428571428571428,2.7142857142857144,3.857142857142857,0.5,1.1428571428571428,0.2857142857142857,3.7142857142857144,0.35714285714285715,3.4285714285714284,1.5,-3.0714285714285716,2.5714285714285716
2020-09-23 14:14:00,1.3333333333333333,2.8666666666666667,4.066666666666666,0.4666666666666667,1.0666666666666667,0.26666666666666666,4.0,0.2,3.533333333333333,1.5333333333333334,-3.1333333333333333,2.533333333333333
2020-09-23 14:15:00,1.5,3.0625,4.25,0.5,0.9375,0.25,4.1875,0.0625,3.6875,1.5625,-3.25,2.4375
2020-09-23 14:16:00,1.7058823529411764,3.235294117647059,4.411764705882353,0.47058823529411764,0.8235294117647058,0.23529411764705882,4.411764705882353,0.0,3.764705882352941,1.6470588235294117,-3.3529411764705883,2.2941176470588234
2020-09-23 14:17:00,1.9444444444444444,3.4444444444444446,4.555555555555555,0.5,0.6666666666666666,0.2777777777777778,4.611111111111111,-0.05555555555555555,3.7777777777777777,1.7222222222222223,-3.5,2.1666666666666665
2020-09-23 14:18:00,2.1052631578947367,3.6315789473684212,4.7368421052631575,0.47368421052631576,0.47368421052631576,0.2631578947368421,4.7894736842105265,-0.10526315789473684,3.789473684210526,1.8421052631578947,-3.6315789473684212,2.1052631578947367
2020-09-23 14:19:00,2.2,3.75,4.9,0.45,0.25,0.25,4.9,-0.2,3.8,1.95,-3.8,2.0
2020-09-23 14:20:00,2.2857142857142856,3.857142857142857,5.095238095238095,0.38095238095238093,0.0,0.19047619047619047,5.0,-0.2857142857142857,3.857142857142857,2.0952380952380953,-4.0,1.9523809523809523
2020-09-23 14:21:00,2.3181818181818183,3.909090909090909,5.2727272727272725,0.2727272727272727,-0.18181818181818182,0.18181818181818182,5.090909090909091,-0.36363636363636365,3.8636363636363638,2.227272727272727,-4.136363636363637,1.9090909090909092
2020-09-23 14:22:00,2.3043478260869565,3.9565217391304346,5.478260869565218,0.21739130434782608,-0.34782608695652173,0.13043478260869565,5.173913043478261,-0.4782608695652174,3.9130434782608696,2.347826086956522,-4.217391304347826,1.8695652173913044
2020-09-23 14:23:00,2.3333333333333335,3.9583333333333335,5.708333333333333,0.16666666666666666,-0.4583333333333333,0.041666666666666664,5.208333333333333,-0.5833333333333334,4.0,2.4166666666666665,-4.291666666666667,1.7916666666666667
2020-09-23 14:24:00,2.32,3.92,5.96,0.16,-0.56,-0.04,5.28,-0.68,4.08,2.52,-4.36,1.72
2020-09-23 14:25:00,2.3461538461538463,3.8461538461538463,6.1923076923076925,0.15384615384615385,-0.6538461538461539,-0.07692307692307693,5.346153846153846,-0.7307692307692307,4.115384615384615,2.576923076923077,-4.384615384615385,1.6153846153846154
2020-09-23 14:26:00,2.4074074074074074,3.814814814814815,6.407407407407407,0.14814814814814814,-0.7037037037037037,-0.1111111111111111,5.444444444444445,-0.7777777777777778,4.185185185185185,2.6296296296296298,-4.444444444444445,1.5555555555555556
2020-09-23 14:27:00,2.5,3.75,6.642857142857143,0.14285714285714285,-0.7857142857142857,-0.14285714285714285,5.571428571428571,-0.8571428571428571,4.285714285714286,2.7142857142857144,-4.464285714285714,1.4642857142857142
2020-09-23 14:28:00,2.5517241379310347,3.689655172413793,6.862068965517241,0.1724137931034483,-0.8275862068965517,-0.20689655172413793,5.724137931034483,-0.896551724137931,4.379310344827586,2.8275862068965516,-4.482758620689655,1.4137931034482758
2020-09-23 14:29:00,2.6333333333333333,3.6,7.033333333333333,0.2,-0.9,-0.3,5.833333333333333,-0.9333333333333333,4.466666666666667,2.9,-4.466666666666667,1.3333333333333333
2020-09-23 14:30:00,2.7419354838709675,3.4838709677419355,7.161290322580645,0.1935483870967742,-0.9354838709677419,-0.41935483870967744,5.935483870967742,-0.967741935483871,4.548387096774194,2.967741935483871,-4.451612903225806,1.2903225806451613
2020-09-23 14:31:00,2.8125,3.375,7.25,0.1875,-0.9375,-0.5,6.0,-0.96875,4.59375,3.0,-4.40625,1.21875
2020-09-23 14:32:00,2.909090909090909,3.303030303030303,7.333333333333333,0.18181818181818182,-0.9696969696969697,-0.5454545454545454,6.0606060606060606,-0.9393939393939394,4.666666666666667,3.0303030303030303,-4.363636363636363,1.121212121212121
2020-09-23 14:33:00,3.0294117647058822,3.2058823529411766,7.411764705882353,0.14705882352941177,-1.0,-0.6176470588235294,6.088235294117647,-0.9117647058823529,4.764705882352941,3.0294117647058822,-4.294117647058823,1.0
2020-09-23 14:34:00,3.1714285714285713,3.085714285714286,7.514285714285714,0.14285714285714285,-1.0285714285714285,-0.7142857142857143,6.085714285714285,-0.8571428571428571,4.857142857142857,3.057142857142857,-4.228571428571429,0.8571428571428571
2020-09-23 14:35:00,3.3333333333333335,2.9722222222222223,7.638888888888889,0.1388888888888889,-1.0277777777777777,-0.7777777777777778,6.055555555555555,-0.7777777777777778,4.916666666666667,3.0833333333333335,-4.194444444444445,0.6944444444444444
2020-09-23 14:36:00,3.4864864864864864,2.864864864864865,7.72972972972973,0.13513513513513514,-1.054054054054054,-0.8378378378378378,6.0,-0.7297297297297297,4.972972972972973,3.081081081081081,-4.1891891891891895,0.5135135135135135
2020-09-23 14:37:00,3.6315789473684212,2.763157894736842,7.842105263157895,0.13157894736842105,-1.0789473684210527,-0.8947368421052632,5.921052631578948,-0.7105263157894737,5.052631578947368,3.1052631578947367,-4.184210526315789,0.3157894736842105
2020-09-23 14:38:00,3.7948717948717947,2.6666666666666665,7.923076923076923,0.15384615384615385,-1.1282051282051282,-0.9230769230769231,5.846153846153846,-0.6923076923076923,5.153846153846154,3.1538461538461537,-4.205128205128205,0.15384615384615385
2020-09-23 14:39:00,3.95,2.575,8.0,0.15,-1.175,-0.95,5.775,-0.7,5.25,3.225,-4.225,-0.025
2020-09-23 14:40:00,4.097560975609756,2.4878048780487805,8.073170731707316,0.14634146341463414,-1.2439024390243902,-0.9512195121951219,5.682926829268292,-0.6829268292682927,5.365853658536586,3.268292682926829,-4.2439024390243905,-0.1951219512195122
2020-09-23 14:41:00,4.238095238095238,2.4285714285714284,8.166666666666666,0.14285714285714285,-1.3333333333333333,-0.9761904761904762,5.619047619047619,-0.6666666666666666,5.4523809523809526,3.2857142857142856,-4.261904761904762,-0.38095238095238093
2020-09-23 14:42:00,4.395348837209302,2.372093023255814,8.232558139534884,0.11627906976744186,-1.4186046511627908,-0.9767441860465116,5.5813953488372094,-0.6744186046511628,5.534883720930233,3.2790697674418605,-4.255813953488372,-0.5348837209302325
2020-09-23 14:43:00,4.568181818181818,2.2954545454545454,8.295454545454545,0.11363636363636363,-1.5227272727272727,-0.9545454545454546,5.545454545454546,-0.7045454545454546,5.590909090909091,3.2954545454545454,-4.25,-0.6590909090909091
2020-09-23 14:44:00,4.733333333333333,2.2,8.355555555555556,0.1111111111111111,-1.6,-0.9555555555555556,5.488888888888889,-0.7555555555555555,5.666666666666667,3.2888888888888888,-4.222222222222222,-0.8
2020-09-23 14:45:00,5.022222222222222,2.1555555555555554,8.6,0.1111111111111111,-1.711111111111111,-0.9777777777777777,5.555555555555555,-0.8222222222222222,5.822222222222222,3.311111111111111,-4.288888888888889,-1.0
2020-09-23 14:46:00,5.333333333333333,2.088888888888889,8.822222222222223,0.15555555555555556,-1.8222222222222222,-1.0222222222222221,5.622222222222222,-0.9333333333333333,6.0,3.2888888888888888,-4.333333333333333,-1.2222222222222223
2020-09-23 14:47:00,5.622222222222222,2.0444444444444443,9.0,0.17777777777777778,-1.9333333333333333,-1.0888888888888888,5.711111111111111,-1.0222222222222221,6.177777777777778,3.2222222222222223,-4.355555555555555,-1.4444444444444444
2020-09-23 14:48:00,5.911111111111111,2.022222222222222,9.155555555555555,0.17777777777777778,-2.022222222222222,-1.1333333333333333,5.777777777777778,-1.0888888888888888,6.355555555555555,3.1555555555555554,-4.377777777777778,-1.6888888888888889
2020-09-23 14:49:00,6.177777777777778,1.9777777777777779,9.311111111111112,0.2,-2.1555555555555554,-1.1555555555555554,5.822222222222222,-1.1777777777777778,6.488888888888889,3.1333333333333333,-4.377777777777778,-1.9333333333333333
2020-09-23 14:50:00,6.444444444444445,1.9111111111111112,9.488888888888889,0.2,-2.2666666666666666,-1.1777777777777778,5.911111111111111,-1.3111111111111111,6.622222222222222,3.1333333333333333,-4.333333333333333,-2.2222222222222223
2020-09-23 14:51:00,6.733333333333333,1.8222222222222222,9.644444444444444,0.2222222222222222,-2.422222222222222,-1.2222222222222223,5.977777777777778,-1.488888888888889,6.733333333333333,3.111111111111111,-4.288888888888889,-2.511111111111111
2020-09-23 14:52:00,6.977777777777778,1.7333333333333334,9.8,0.28888888888888886,-2.533333333333333,-1.288888888888889,6.022222222222222,-1.6444444444444444,6.844444444444444,3.088888888888889,-4.222222222222222,-2.7777777777777777
2020-09-23 14:53:00,7.177777777777778,1.6222222222222222,9.955555555555556,0.4,-2.6444444444444444,-1.4,6.066666666666666,-1.8,6.911111111111111,3.0444444444444443,-4.155555555555556,-3.0
2020-09-23 14:54:00,7.355555555555555,1.488888888888889,10.155555555555555,0.4888888888888889,-2.7777777777777777,-1.511111111111111,6.088888888888889,-1.9111111111111112,6.977777777777778,2.9555555555555557,-4.111111111111111,-3.2222222222222223
2020-09-23 14:55:00,7.533333333333333,1.3555555555555556,10.355555555555556,0.5555555555555556,-2.888888888888889,-1.6444444444444444,6.088888888888889,-2.0,7.022222222222222,2.8666666666666667,-4.111111111111111,-3.422222222222222
2020-09-23 14:56:00,7.688888888888889,1.2444444444444445,10.555555555555555,0.6222222222222222,-3.0,-1.8222222222222222,6.066666666666666,-2.0444444444444443,7.066666666666666,2.8222222222222224,-4.066666666666666,-3.577777777777778
2020-09-23 14:57:00,7.822222222222222,1.1333333333333333,10.777777777777779,0.6666666666666666,-3.111111111111111,-2.0444444444444443,6.022222222222222,-2.066666666666667,7.133333333333334,2.8,-4.022222222222222,-3.688888888888889
2020-09-23 14:58:00,7.955555555555556,0.9777777777777777,10.955555555555556,0.7555555555555555,-3.2222222222222223,-2.2666666666666666,5.977777777777778,-2.0444444444444443,7.2444444444444445,2.7555555555555555,-3.977777777777778,-3.7777777777777777
2020-09-23 14:59:00,8.088888888888889,0.8222222222222222,11.088888888888889,0.8444444444444444,-3.3555555555555556,-2.466666666666667,5.888888888888889,-2.022222222222222,7.333333333333333,2.7333333333333334,-3.888888888888889,-3.911111111111111
2020-09-23 15:00:00,8.2,0.6444444444444445,11.2,0.9333333333333333,-3.488888888888889,-2.6666666666666665,5.822222222222222,-2.022222222222222,7.4,2.688888888888889,-3.7777777777777777,-4.022222222222222
