"Durazno", 128.97, 912
"Pera", 137.50, 980
"Lechuga", 39.53, 1053
"Durazno", 261.23, 792
"Lima", 1282.86, 180
"Repollo", 7.03, 819
"Mandarina", 21.45, 870
"Manzana", 140.64, 1200
"Coliflor", 35.59, 400
"Uva", 677.29, 324
"Kiwi", 383.15, 364
"TomCherry", 534.21, 180
"Zuccini", 87.76, 618
"Limon", 323.38, 574
"Lima", 1402.79, 172
"Mandarina", 11.56, 1200
"Lechuga", 40.27, 855
"Naranja", 13.21, 870
"Tomate", 769.39, 819
"Limon", 330.05, 623
"Kinoto", 38.85, 238
"Kiwi", 422.16, 320
"Lima", 1014.68, 202
"Acelga", 25.02, 783
"TomCherry", 525.02, 232
"Repollo", 6.54, 707
"Higo", 2502.64, 106
"Durazno", 177.32, 848
"Pera", 157.01, 1140
"Brocoli", 379.67, 472
"Lima", 1257.74, 182
"Kinoto", 37.99, 222
"Naranja", 8.48, 1090
"Lima", 1196.95, 184
"Uva", 729.54, 297
"Durazno", 178.72, 912
"Berenjena", 46.18, 528
"TomCherry", 552.76, 174
"Sandia", 71.32, 909
"Manzana", 151.33, 850
"Lima", 1035.93, 192
"Lima", 1366.12, 206
"Sandia", 52.75, 783
"Tomate", 784.87, 990
"Tomate", 665.46, 954
"Palta", 508.90, 400
"Mandarina", 19.22, 1180
"Esparrago", 631.45, 228
"Zuccini", 87.06, 552
"Uva", 705.30, 309
"Rabanito", 215.37, 342
"Brocoli", 353.94, 420
"Lima", 1446.71, 184
"Melon", 99.25, 352
"Melon", 103.10, 352
"Lima", 1158.76, 192
"Cereza", 947.26, 228
"Batata", 12.78, 1110
"Mandarina", 19.19, 1170
"Lechuga", 37.69, 774
"Limon", 333.87, 581
"Brocoli", 350.70, 328
"Papa", 22.84, 970
"Acelga", 19.03, 765
"Mandarina", 15.92, 1120
"Palta", 502.09, 505
"Pomelo", 48.88, 936
"Palta", 1136.53, 480
"Lima", 1377.90, 186
"Cereza", 1064.69, 182
"Tomate", 767.52, 954
"Morron", 2910.14, 690
"Cebolla", 59.60, 664
"Rabanito", 188.43, 267
"Alcachofa", 139.90, 261
"Pepino", 34.10, 475
"Batata", 11.47, 990
"Cereza", 949.67, 178
"Durazno", 153.76, 880
"TomCherry", 542.34, 182
"Melon", 126.64, 448
"Cereza", 1041.69, 216
"Lima", 1047.85, 228
"Caqui", 843.07, 97
"Choclo", 58.52, 345
"Naranja", 11.88, 850
"Acelga", 23.61, 864
"Batata", 29.74, 1140
"Palta", 1180.79, 320
"Coliflor", 36.81, 565
"Coliflor", 33.69, 460
"Lima", 1239.58, 166
"Zuccini", 78.03, 486
"Banana", 74.52, 800
"Palta", 1215.11, 340
"Pomelo", 34.18, 774
"Caqui", 819.94, 110
"TomCherry", 541.61, 236
"Durazno", 289.91, 832
"Lechuga", 55.32, 1053
"Mandarina", 21.74, 1130
"Manzana", 136.31, 890
"Repollo", 5.11, 644
"Mandarina", 14.35, 1010
"Sandia", 56.51, 855
"Pera", 142.32, 1020
"Lima", 1284.99, 170
"Lima", 1255.89, 206
"Limon", 344.07, 714
"Batata", 14.09, 1160
"Zuccini", 85.50, 624
"Mandarina", 13.04, 1130
"Higo", 2498.94, 82
"Durazno", 190.80, 824
"Pomelo", 39.88, 873
